.,English
quest.name,GD1 - Guardians of Deephall (v1.2)
quest.description,"A digital adaptation of the Descent Second Edition quest - Guardians of Deephall (Act I).\n\nv1.1 - Added start round messaging, new custom monster activations, perils, minor flow changes, typo corrections.\nv1.2 - Added Rumor Quest support, minor adjustments.\n\nPlease report bugs at https://github/afellowspelunker/GuardiansofDeephall/issues."
quest.synopsys,A digital adaptation of the Descent quest <b>Guardians of Deephall</b>.
quest.authors,afellowspelunker
quest.authors_short,afellowspelunker
Token21BObject1.button1,{action} Clear Rubble
TokenSearch2Players2.button1,{action} Search
Door5B.button1,{action} Open Door
Spawn10BInitialDeephallFleshMoulder.button1,Continue
EventPlaceTiles2_5B.text,"<i>The door opens to reveal a dust and debris filled cave.  Two crudely built doors are seen to the west and south.  It is eerily quiet here after the intense battle at the moat.  As you peer into the darkness, you can sense some movement coming from deep within.</i>\n\nRemove the door.\n\nPlace 5B and two doors as shown. "
Token21BRed1.text,"<i>This is a tunnel!</i>\n\nAs a move action, instead of gaining movement points, a <b>flesh moulder</b> or <b>zombie</b> that is adjacent to a tunnel may infest that tunnel.\n\n<b>Each monster in a space containing an infested tunnel adds 1 grey defense die to its defense pool.</b>\n----------------------------------------\nIf a monster on an infested tunnel is defeated, that tunnel becomes a pile of rubble.\n\n<b>Has a monster been defeated while infesting this tunnel?</b>"
EventTokenSearch2Players2.button1,Continue
EventTokenSearch2Players1.text,"<i>The rusty lid creaks as you open it.  Inside the locker you find a useful item.</i>\n\nDraw a Search card and remove this token."
Door19B.button1,{action} Open Door
Door19B.text,"<i>This door, along with the door to the south, seems to have been built much more recently than the reinforced entry door you just came through.  These doors are not as sturdy and seem to have been hastily constructed, with large gaps between the planks.</i>\n\nAs an action, an adjacent hero may open the door."
EventPlaceTiles3_16B.button1,Continue
EventPlaceSearchTokens2Players2.text,Place a search token on 5B as shown.
Door16B.button1,{action} Open Door
Door16B.text,"<i>This door, along with the door to the west, seems to have been built much more recently than the reinforced entry door you just came through.  These doors are not as sturdy and seem to have been hastily constructed, with large gaps between the planks.</i>\n\nAs an action, an adjacent hero may open the door."
Token5BObject2.text,"<i>This is a pile of rubble.</i>\n\nAs an action, while adjacent to a pile of rubble, a <b>hero</b>, <b>flesh moulder</b> or <b>zombie</b> may clear that pile of rubble.\n\n<b>Is this pile of rubble being cleared?</b>"
Token5BObject2.button1,{action} Clear Rubble
Token5BObject1.button1,{action} Clear Rubble
Token5BRed1.button1,Monster Defeated
Token19BObject2.button1,{action} Clear Rubble
